,Title,Desc_of_movies
909,The Circus ,"When a penniless man is mistaken for a wanted pickpocket, he evades the cops by fleeing to a circus where he inadvertently becomes the star of the show."
910,Cirque du Freak: The Vampire's Assistant ," When Darren Shan is taken to a circus that's chock-full of sideshow oddities, he meets a vampire and receives a life-changing bite on the neck."
911,Cities of Last Things ,"In a dystopian tale unfolding in reverse chronology, a man with a complicated past takes revenge on the individuals who wronged him decades ago."
912,City Lights ,"In his final silent film, Charlie Chaplin makes the acquaintance of a blind girl who, because she can't see him, believes he is a millionaire."
913,City of God: 10 Years Later ," A decade after the seminal Brazilian film ""City of God,"" this documentary reunites some of the cast and crew to find out what paths their lives took."
914,City of Joy ,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment."
915,City of Joy ,"An American doctor's outlook is forever changed when he crosses paths with a poverty-stricken family and a clinic volunteer in Calcutta, India."
916,City of Tiny Lights ,"In moody London, a burned-out sleuth sinks into a world of corruption and murderous romance when he tackles a mysterious case of a missing sex worker."
917,Clair Obscur ,"While examining a young woman who has just murdered her husband and mother-in-law, a psychiatrist begins to reflect on her own marriage."
918,The Clapper ,"A newcomer ekes out a living in LA as a professional audience member on infomercials, but life gets complicated when he's thrust into the spotlight."
919,Clarence Clemons: Who Do I Think I Am? ,This intimate documentary follows the life of legendary saxophonist Clarence Clemons and his spiritual awakening before his death in 2011.
920,Clash of the Titans ," If he is to save the life of the beautiful Princess Andromeda, the valiant Perseus must battle a host of powerful, beastly enemies."
921,Class of '83 ,"Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld."
922,Class Rank ,"When her class rank threatens her college plans, an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system."
923,The Claudia Kishi Club ,"Asian American creatives pay passionate tribute to the iconic, stereotype-busting ""Baby-Sitters Club"" character in this heartfelt documentary short."
924,Click , Overworked Michael Newman stumbles on a universal remote control that gives him the power to pause or fast-forward through scenes in his life.
925,Cliffhanger ,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
926,The Climb (L'ascension) ,A young Senegalese-French man from humble roots sets out to climb Mount Everest to impress the woman he loves -- and slowly becomes a media sensation.
927,Clinical ,A psychiatrist is plagued by flashbacks to a terrifying attack as she treats a new patient who was horribly disfigured in an accident.
928,Clive Davis: The Soundtrack of Our Lives ,This music-driven documentary charts Clive Davis' 50-year career as one of the world's most influential record moguls.
929,Close ,"When attackers target the heiress she's protecting, battle-hardened bodyguard Sam scrambles to save her client -- and teach her how to fight back."
930,Close Enemies ,"After an ambush leaves his partner dead, drug dealer Manuel reluctantly teams up with childhood friend Driss -- now a cop -- to hunt down the culprits."
931,Close Enough ,A married couple tries to keep ⁠-- and stay ⁠-- cool as they move on from partying in their 20s to parenting in their 30s in this adult animated series.
932,Cloudy with a Chance of Meatballs ,"When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow."
933,The Cloverfield Paradox ,"Orbiting above a planet on the brink of war, scientists test a device to solve an energy crisis and end up face-to-face with a dark alternate reality."
934,Clueless , Meddlesome Beverly Hills high school student Cher gets more than she bargained for when she gives a fashion-challenged student a makeover.
935,Coach Carter ,Controversial basketball coach Ken Carter puts school before sports and benches his undefeated high school team for poor academic performance.
936,Coach Snoop ,"Fueled by his own rough upbringing, Snoop Dogg creates a youth football league to keep at-risk kids off the streets and focused on their goals."
937,Cobra Kai ,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films."
938,Coco y Raulito: Carrusel de ternura ,"A study in contrasts, comedy partners and good friends Coco Celis and Raúl Meneses alternate separate stand-up sets for double the laughs."
939,Coffee & Kareem ,An inept Detroit cop must team up with his girlfriend's foul-mouthed young son when their first crack at bonding time uncovers a criminal conspiracy.
940,Coffee for All ,"In Naples, Buenos Aires and New York, people reflect on the Neapolitan tradition of ""suspended coffee"" and how it changed their lives."
941,Coin Heist ,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint."
942,Çok Filim Hareketler Bunlar ,"Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off."
943,Cold Feet ,"At a resort getaway, the fate of two couples collides when a wife unexpectedly runs into an old flame as he hesitates to propose to his girlfriend."
944,Cold Harbour ," When a war breaks out between competing gangs of smugglers in Cape Town, South Africa, an honest cop is pressured to work for a powerful crime lord."
945,The Cold Light Of Day ,"When his family falls prey to kidnappers while on holiday in Spain, Wall Street whiz kid Will Shaw frantically sets out to get them back."
946,The Coldest Game ,"During 1962's Cuban missile crisis, a troubled math genius finds himself drafted to play in a U.S.-Soviet chess match -- and a deadly game of espionage."
947,Colin Quinn: Red State Blue State ,Stand-up comedian Colin Quinn calls out the hypocrisies of the left and the right in this special based on his politically charged Off-Broadway show.
948,Colin Quinn: The New York Story ,"The ""SNL"" veteran performs his off-Broadway show about the history of New York and the people who shape its personality. Directed by Jerry Seinfeld."
949,Colin Quinn: Unconstitutional ,New York comedian Colin Quinn writes and stars in this live one-man stage show that dissects and deconstructs U.S. constitutional history.
950,Collide ,An ex-pat living in Germany is pulled back into the deadly but lucrative underworld when he learns his girlfriend is need of a costly surgery.
951,Colombiana ," After seeing Bogota gangsters murder her parents, Cataleya Restrepo turns herself into a ruthless assassin, dedicated to tracking down their killers."
952,Color Out of Space ,"A meteorite crashes a family's rural retreat with mind-altering, catastrophic consequences as strange, beautiful and terrifying mutations materialize."
953,Come and Find Me ," When his photographer girlfriend vanishes, an L.A. graphic designer starts his own investigation and uncovers a web of deceit, crime and corruption."
954,Come Sunday ,A crisis of faith sets renowned fundamentalist preacher Carlton Pearson on a new spiritual path that jeopardizes everything he holds dear.
955,COMEDIANS of the world ,This global stand-up comedy series features a diverse set of comics from 13 regions bringing their perspectives on what's funny around the world.
956,The Comedy Lineup , A diverse group of up-and-coming comedians perform 15-minute sets in this stand-up comedy showcase series.
957,Coming to America ,"Discontented with his pampered life, an African prince heads to America as a working-class man to find someone who will fall for him, not his riches."
958,The Command ,For the crew trapped aboard a sunken Russian submarine the deadliest threat is the bureaucracy on land. Based on a true story.
959,Community ," When his degree is found bogus, lawyer Jeff Winger is sent back to college, where he meets students and teachers with credentials as dubious as his."
960,The Commuter ," On his daily train commute, an insurance salesman gets railroaded into accepting a suspiciously lucrative offer from a mysterious fellow passenger."
961,Como caído del cielo ,"To earn his place in heaven, legendary Mexican actor-singer Pedro Infante is sent back to Earth in an impersonator's body to mend his womanizing ways."
962,Company of Heroes ,"During the last major German offensive of World War II, a group of Allied soldiers sets out against all odds to turn the war around."
963,Conan the Barbarian ," Arnold Schwarzenegger stars in his breakout role as Conan, a slave who trains to be a gladiator. Once freed, he seeks revenge for his parents' deaths."
964,Concussion ,This drama is based on the true story of a forensic pathologist who made a controversial link between NFL players' concussions and brain disorders.
965,The Condemned 2 ,"When a bounty hunter fails to nab a gambling ring leader, he teams up with his father to survive a deadly televised game where he's now the hunted."
966,The Condemned ,A death row inmate in an infamous Central American prison learns he's been bought by a reality show mogul who wants to cast him in his latest project.
967,Connected ,"In this remake of ""Cellular,"" a debt collector becomes embroiled in intrigue after answering a random phone call from a stranger begging for help."
968,Consequences  ,Secrets bubble to the surface after a sensual encounter and an unforeseen crime entangle two friends and a woman caught between them.
969,Constantine ,"A private detective with a taste for the supernatural investigates an apparent suicide in this thriller based on the comic book ""Hellblazer."""
970,The Consul's Son (Ibn el-Qunsul) ,A notorious forger known for his ability to create fake passports and visas finds himself the target of a con man's ruse.
971,Contagion ,A team of doctors is tasked with stopping a deadly viral outbreak before it annihilates mankind.
972,Contraband ," When his brother-in-law runs afoul of a drug lord, family man Chris Farraday turns to a skill he abandoned long ago -- smuggling -- to repay the debt."
973,Contract ,"Following the death of his wife and daughter in a terrorist attack, an ex-Indian army commando agrees to infiltrate a terrorist cell."
974,Contratiempo ,"After waking next to his now-dead lover in a hotel room, a young businessman hires a prominent lawyer to figure out how he ended up a murder suspect."
975,Convict (وش سجون) ,"Sentenced to death for committing rape, a convict navigates his final trying days alongside his allies and enemies in prison."
976,Cook Off ,"Yearning for a better life, a single mother with a passion for cooking gets a shot at greatness when her son enters her into a top reality cooking show."
977,Cooked with Cannabis ,"Chefs compete to get the hosts and special guests high on elevated cannabis cuisine with their artful use of leafy herb, THC infusions and CBD sauces."
978,Cooking on High ,"In the first-ever competitive cannabis cooking show, two chefs prepare mouthwatering marijuana-infused dishes for a panel of very chill celeb judges."
979,Cop Watchers ,Explore the stories of the citizens who seek to deter police brutality by observing and videotaping arrests made by the New York Police Department.
980,Coraline , Curious young Coraline unlocks a door in her family's home and is transported to a universe that strangely resembles her own -- only better.
981,The Core ,"The Earth's inner core has stopped spinning, and scientist Josh Keyes must discover why -- before the world literally falls apart."
982,Cosmos Laundromat: First Cycle ,"Despondent on a desolate island, a suicidal sheep is thrown a lifeline by a quirky salesman, who offers him the gift of a lifetime."
983,Countdown to Death: Pablo Escobar ,"Through rare interviews, images and wiretap audio, this documentary reconstructs the last nine years of Colombian drug lord Pablo Escobar's life."
984,Counterpunch ,"As boxing's popularity wanes, three fighters at different stages of their career make sacrifices to pursue their dreams of becoming champions."
985,Couple of Days ," Three couples, each in different phases of romance, head to Ibadan for a fun and frisky holiday. But secrets soon spill, causing trouble in paradise."
986,Couples Counseling (O Amor no DIvã) ,A seasoned couples therapist comes to realize she might need help with her own marriage after meeting a new pair of young clients.
987,The Courier ,An enigmatic motorcycle courier must fend off a series of henchmen when she stalls the assassination attempt of a key witness by a callous crime boss.
988,Cowspiracy ,Learn how factory farming is decimating the planet&#39;s natural resources -- and why this crisis has been largely ignored by major environmental groups.
989,Cracked Up: The Darrell Hammond Story ,"""Saturday Night Live"" star Darrell Hammond reveals the extreme abuse he suffered during childhood, a trauma that nearly destroyed his life as an adult."
990,Craig Ferguson: Tickle Fight ,"Cheeky comic Craig Ferguson keeps it casual as he discusses '70s porn, Japanese toilets and his mildly crime-filled days as a talk show host."
991,Crazy Awesome Teachers (Guru-Guru Gokil) ,"When staff salaries get stolen at his school, a reluctant new teacher sets out to recoup the money and soon discovers the joys of teaching."
992,Crazy Beautiful You ,A rebellious daughter accompanies her mother on a medical mission where she falls for the handsome politician's son assigned to be her chaperone.
993,Crazy Delicious ,"In this competition show, daring home chefs tempt the food gods with reinvented classics and fanciful feasts in their quest to win a golden apple."
994,Crazy people ,Nollywood star Ramsey Nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.
995,Crazy Rich Asians ,"When she joins her boyfriend on a trip to his native Singapore, Rachel Chu discovers his family's luxurious wealth and faces his disapproving mother."
996,"Crazy, Lovely, Cool ","For a group of charismatic undergraduates, the jolting revelations from a campus blog turn surviving university life into a serious matter."
997,"Crazy, Stupid, Love ","When Cal learns that his wife wants a divorce, he reluctantly faces the prospect of single life with the counsel of a smooth young bachelor."
998,Crazyhead ,Bowling alley worker Amy and nonconformist Raquel kick some serious demon butt while also facing their inner demons as they navigate their early 20s.
999,CRD ,"At odds with his radical instructor's ruthless methods, a drama student assembles his own troupe of misfit actors ahead of a prestigious competition."
1000,Creep ,"When a cash-strapped videographer takes a job in a remote mountain town, he finds that the client has some unsettling ideas in mind."
1001,Creep 2 ,"A video artist finds the perfect character for a sensational piece, but the subject of her dreams soon reveals his insidious side."
1002,Creeped Out ,"A masked figure known as ""The Curious"" collects tales of dark magic, otherworldly encounters and twisted technology in this kids anthology series."
1003,The Crew ,"After an unexpected misstep, a crew of skilled Parisian robbers find themselves forced to carry out a daring heist for a powerful crime organization."
1004,The Crime of Padre Amaro ,This provocative drama follows a newly ordained priest who finds his lofty ideals tested when he begins a sexual liaison with a teenage parishioner.
1005,The Crimes That Bind (Crímenes de familia) ,"When her son is accused of raping and trying to murder his ex-wife, Alicia embarks on a journey that will change her life forever."
1006,Criminal ," To stop a terrorist plot, the government implants memories and skills from a dead CIA agent into a condemned killer who becomes emotionally changed."
1007,Crip Camp: A Disability Revolution ,"A groundbreaking summer camp galvanizes a group of teens with disabilities to help build a movement, forging a new path toward greater equality."
1008,Cristela Alonzo: Lower Classy ,"The irrepressible Alonzo skewers Latino stereotypes, pricey luxuries and her mother's tough-love parenting in a night of sly and infectious comedy."
1009,Cristina ," In this short documentary, 37-year-old Cristina valiantly battles cancer while doing all she can to encourage others to live in the moment."
1010,Crossroads: One Two Jaga ,"In Kuala Lumpur, an abused domestic worker tries to escape to Indonesia, while an idealistic cop insists on fighting corruption  -- at a heavy price."
1011,"Crouching Tiger, Hidden Dragon: Sword of Destiny ",Renowned warrior Yu Shu-Lien comes out of retirement to keep the legendary Green Destiny sword away from villainous warlord Hades Dai.
1012,Cruel Peter ,A teen tapping into the supernatural to connect with her late mother becomes possessed when she accidentally resurrects the soul of a sadistic bully.
1013,Cruise ,"In 1980s New York, a stud with an affinity for hot rods and swiping stereos falls for a privileged college student with a bad girl alter ego."
1014,The Crystal Calls Making the Dark Crystal: Age of Resistance ,"Go behind the scenes with stars, puppeteers and creators as they bring Jim Henson's magical world of Thra back to life in a sweeping fantasy series."
1015,Cuba and the Cameraman ,Emmy-winning filmmaker Jon Alpert chronicles the fortunes of three Cuban families over the course of four tumultuous decades in the nation's history.
1016,Cuckoo ," Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family."
1017,Cuddle Weather ,"When a seasoned sex worker sleeps with a rookie call boy, they soon find that a strictly physical relationship doesn't completely satisfy them."
1018,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna ,An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University's Aqua Culture Research Institute.
1019,The Curious Case of Benjamin Button ," David Fincher directs this Oscar-nominated tale of Benjamin Button, a man who was born old and wrinkled but grows younger as the years go by."
1020,Curtiz ,"Driven and arrogant, film director Michael Curtiz deals with studio politics and family drama during the troubled production of ""Casablanca"" in 1942."
1021,Cuties (Mignonnes) ,Eleven-year-old Amy starts to rebel against her conservative family's traditions when she becomes fascinated with a free-spirited dance crew.
1022,Cycle ,"When his prized bicycle is stolen, an astrologer's search turns into a journey of self-realization -- while the thieves learn a few lessons of their own."
1023,Dügün Dernek 2: Sünnet ,Ismail and his old screwball crew land themselves in hot water when his grandson's circumcision evolves into a buzz-making citywide event.
1024,D.E.B.S. ,"When four girls ace an SAT test that secretly measures a teen's potential for espionage, they're recruited for the elite paramilitary group D.E.B.S."
1025,D.L. Hughley: Clear ," In this 2014 standup special filmed in San Francisco, comedic genius D.L. Hughley entertains with his hilarious take on current affairs and more."
1026,D.L. Hughley: Contrarian ," D.L. Hughley riffs on hot-button political issues, celebrity scandals, his mother's tough love and more in a rapid-fire stand-up show in Philadelphia."
1027,Da 5 Bloods ,Four African American veterans return to Vietnam decades after the war to find their squad leader's remains -- and a stash of buried gold. From Spike Lee.
1028,The Da Vinci Code ," When the curator of the Louvre is killed, a Harvard professor and a cryptographer must untangle a web of deceit involving works of Leonardo da Vinci."
1029,Dabbe 5: Zehr-i Cin ,"When Dilek becomes haunted by evil spirits and loses control of her body, she seeks the help of a woman with dark secrets to cure her."
1030,Dabbe 6: The Return (Dab6e) ,"A cardiologist tries to pinpoint the cause of her mother's sudden death as her sister, who witnessed it, claims malevolent demons are at play."
1031,Dabbe: The Possession (Dabbe: Ci̇n; Çarpmasi) ,"Ahead of her wedding, Kübra is possessed by demons. When an examination reveals more horror, her friend, a psychiatrist, tries to perform an exorcism."
1032,Dad Wanted (Se busca papá) ,What does a thrill-seeker tween girl do when her mom forbids her to enter a BMX race? Cast an actor with nothing to lose to play her approving dad.
1033,Daddy's Home , A well-intentioned and eager stepfather welcomes his wife's hyper-masculine ex-husband for a family visit that rapidly escalates into a dad war.
1034,Daffedar ,"A retired government worker continues to dedicate himself to public service, but his principled ways soon clash with those of his extravagant sons."
1035,Dagh Ujala (Un-Freedom) ,A lesbian daughter fights off an arranged marriage in India while an Islamic fundamentalist targets an anti-extremist Muslim scholar in New York.
1036,"Dana Carvey: Straight White Male, 60 ",Emmy-winning comedian Dana Carvey blends pitch-perfect takes on big personalities with so-true-it-hurts stories from his life as a dad of millennials.
1037,Dance Academy: The Comeback ,"In this adaptation of the TV series, Tara recovers from injury and pursues a career in the U.S., where she grapples with love and professional rejection."
1038,The Dancer ,"Orphaned by a tragedy that took the lives of her parents, Srintil grows up in a poor Indonesian village aspiring to be a sacred dancer."
1039,Dancing with the Birds ,"From ruffling their majestic feathers to nailing im-peck-able courtship routines, birds in paradise flaunt their best moves in hopes of landing a mate."
1040,Dangal ,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.
1041,Dangerous Lies ,"A broke caregiver unexpectedly inherits her patient's estate, but dark secrets swirl around her newfound wealth, tangling her in deceit and danger."
1042,Daniel Sloss: Live Shows ,"Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent."
1043,Daniel Sosa: Maleducado ,"In his second stand-up special, Daniel Sosa reminisces about his childhood, ponders Mexican traditions and points out a major problem with ""Coco."""
1044,Daniel Sosa: Sosafado ,"Comedian Daniel Sosa inhabits various characters, including a Tupperware dealer, a thirsty priest and a Trojan horse soldier in this stand-up special."
1045,Danur: I Can See Ghosts ,"Adapted from a best-selling novel, this horror film shows Risa befriending ghosts until an evil spirit tries to take her sister to the other side."
1046,Dany Boon: Des Hauts De France ,"In an eclectic one-man show, French superstar Dany Boon reflects on his homeland, his first comedy gig and the challenges of parenting hostile teens."
1047,Darc ,"To bring down a global human trafficking ring, an Interpol agent recruits the help of a brutal criminal with inside knowledge of the yakuza."
1048,Dark Chocolate ,"In this Bangla thriller inspired by a true story, the discovery of a charred corpse in the woods leads to a high-profile murder investigation."
1049,Dark Forces (Fuego negro) ,"In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress."
1050,The Dark Knight Rises ,"Billionaire Bruce Wayne must once again don the cape of his alter ego, Batman, when Gotham is threatened by new foes such as Catwoman and Bane."
1051,The Dark Knight ," As Batman, Lt. Gordon and the district attorney continue to dismantle Gotham's criminal underground, a new villain threatens to undo their good work."
1052,Dark Light ,"Implicated in her daughter's disappearance, a mother searches for answers when she returns to an old family home that may have an unwanted visitor."
1053,The Dark Side of Life: Mumbai City ,"Struggling with Mumbai's pressures and private battles with depression, six lives intersect just as they reach a breaking point."
1054,The Dark Tower ,"A teenager with psychic powers meets the last Gunslinger, who must stop a sorcerer from destroying the one thing that holds the universe together."
1055,Dark Waters ,"A fisherman returns home after a three-year absence only to find the woman he loves drifting away, the sailors feuding and his community unraveling."
1056,The Darkest Dawn ,An aspiring filmmaker records the chaos of an alien invasion while struggling to stay alive with her sister and a bickering band of survivors.
1057,Darkest Hour ,"As the threat of Nazi invasion looms, newly appointed British Prime Minister Winston Churchill rallies a nation to fight for its very survival."
1058,The Darkest Hour ,Young Americans visit Moscow when the city is turned upside down by an alien invasion and band together with the locals to fight back.
1059,Darna Mana Hai ,"Stranded in a jungle when their car breaks down, six friends pass their time exchanging horror stories, unaware that they may be part of one themselves."
1060,Date with Love ,"After a boy's ""promposal"" to his favorite star goes viral, she agrees to be his date, but soon finds herself attracted to the boy's English teacher."
1061,Dave Chappelle ,"Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials."
1062,Dave Chappelle: Equanimity & The Bird Revelation ,"Comedy titan Dave Chappelle caps a wild year with two stand-up specials packed with scorching new material, self-reflection and tough love."
1063,Dave Chappelle: Sticks & Stones ,"Dave Chappelle takes on gun culture, the opioid crisis and the tidal wave of celebrity scandals in a defiant stand-up special filmed in Atlanta."
1064,Dave Chappelle: The Kennedy Center Mark Twain Prize for American Humor ,"Dave Chappelle is awarded the prestigious Mark Twain Prize for American Humor in a star-studded ceremony from the Kennedy Center in Washington, D.C."
1065,David Attenborough: A Life on Our Planet ,"A broadcaster recounts his life, and the evolutionary history of life on Earth, to grieve the loss of wild places and offer a vision for the future."
1066,David Batra: Elefanten i rummet ,Swedish comedian David Batra gets personal as he playfully details the perks and pitfalls of being married to a recently resigned political leader.
1067,David Brent: Life on the Road ,"With ""The Office"" long in the past, middling salesman David Brent ditches work and goes on tour with his rock band in a disastrous stab at stardom."
1068,David Cross: Making America Great Again! ,"Cross skewers Donald Trump, religious taboos and American swagger in a provocative night of comedy at the Paramount Theatre in Austin, Texas."
1069,Dawai Asmara ,"Following life-changing traumas, two girls from different backgrounds fight to discover the identities of their biological parents."
1070,The Dawn Wall ,Cameras follow Tommy Caldwell and Kevin Jorgeson as they take on the staggering challenge of free-climbing Yosemite's most formidable rock formation.
1071,Day of the Dead: Bloodline ,"A former medical student battles for survival against an evil human-zombie hybrid determined to destroy her, in this reimagining of the 1985 classic."
1072,The Day of the Lord (Menendez Parte 1: El día del Señor) ,"In this horror movie, a retired priest haunted by his sins is pulled back into the darkness when a friend begs him to help his possessed daughter."
1073,Dayveon ,"Following the shooting death of his older brother, a depressed and aimless 13-year-old boy falls in with a gang in rural Arkansas."
1074,Dead Kids ,A socially awkward teen bonds with a group of misfits who plot to abduct the school's arrogant rich kid -- until their kidnapping scheme turns deadly.
1075,Dead Set ,"While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound."
1076,Dead to Me , A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.
1077,Deadcon ,"A group of uber-popular, social media influencers' trip to a digital media festival grows dark when an evil spirit wants to lure them to their demise."
1078,Deadline: Sirf 24 Ghante ,A surgeon's perfect life is rattled when his daughter is taken hostage in their own home and he's given 24 hours to pay a hefty ransom.
1079,Deadly Scholars (#SquadGoals) ,"After a series of strange deaths, a high school reporter tries to pin down the killer who's targeting students eligible for a prestigious scholarship."
1080,Deadly Switch ,"In this indie thriller, a foreign exchange student moves in with her roommate's family who grieves over the daughter they would do anything to get back."
1081,The Dealer (El Dealer) ,"Separated by distance and circumstance, two bitter rivals cross paths when the perils of the drug trade unexpectedly unite them."
1082,Dear Dad ,"A father and son bond on an impromptu road trip over deep conversations, unexpected confessions, strange encounters ... and a drunken escapade."
1083,Dear Eleanor ,"Teenage best friends Max and Ellie take an illicit cross-country road trip in 1962 to meet their aging hero, former First Lady Eleanor Roosevelt."
1084,Dear Ex ,"A teen navigates a bitter feud between his willful mom and a free-spirited man, who's the lover and insurance beneficiary of his recently deceased dad."
1085,Dear John ," While on leave, a U.S. soldier falls for a Southern college student, but when he must reenlist, their handwritten letters hold the lovers together."
1086,Dear My Friends ,Life is ever-delightful -- and ever-challenging -- for a group of friends in their twilight years as they rediscover themselves through love and family.
1087,Dear White People ," Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
1088,Dear Zindagi ,"Accustomed to living an unfocused life, a promising cinematographer meets an unconventional therapist who introduces her to a new way of thinking."
1089,The Death and Life of Marsha P. Johnson ,"As she fights the tide of violence against trans women, activist Victoria Cruz probes the suspicious 1992 death of her friend Marsha P. Johnson."
1090,Death by Magic ,"Magician Drummond Money-Coutts travels the globe, sharing his infectious love of his craft and attempting feats that proved fatal to other magicians."
1091,"Death Can Wait (No andaba muerto, estaba de parranda) ","After learning he may die soon, a modest accountant pulls off a shady money scheme and heads to Europe, where he's faced with a life-or-death situation."
1092,Death House ,Two federal agents battle through an army of rioting prisoners -- and their sense of reality -- inside a high-tech prison modeled after Dante's Inferno.
1093,Death Note ,"Light Turner finds a supernatural notebook and uses it to mete out death, attracting the attention of a detective, a demon and a girl in his class."
1094,The Death of Mr. Lazarescu ,"The plot of Romanian director Cristi Puiu's real-time drama is simple, following the travails of an ailing old man who waits for his illness to overtake him as a weary paramedic shuttles him between hospitals."
1095,The Death of Stalin ,The death of Russian dictator Joseph Stalin throws the Soviet Union into comic chaos as his ambitious but addled ministers maneuver to succeed him.
1096,Death Race: Beyond Anarchy ,"An ex-racecar driver is sent to a barbaric prison where, to get pardoned, he must defeat the inmate known as Frankenstein in a lethal ""Death Race."""
1097,Death Wish  ,"After criminals brutally attack his wife and daughter, Dr. Paul Kersey carries out his own brand of violent vigilante justice."
1098,The Debt Collector 2 (Debt Collectors) ,"French and Sue have two days to collect on three debts, using as much force as it takes - all while evading the wrath of a crime lord out for revenge."
1099,The Debt Collector ,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection."
1100,The Decline (Jusqu'au déclin) ,An accident at a remote training camp leaves a group of survivalists bitterly divided -- and caught in a brutal fight for their lives.
1101,Dedemin Fisi ,"When a brain-dead family patriarch is about to be taken off life support, his extended family gathers round and plots to see who'll get his money."
1102,Dedh Ishqiya ,"After failing to win the heart of an aristocrat's widow, a thief plans to abduct her, only to discover that there are others with the same idea."
1103,Deep ,"After accidentally trapping his family in their underwater home, a young octopus and his ocean-dwelling buddies search for help far across the sea."
1104,Deepwater Horizon ,This dramatization of the 2010 catastrophe on the titular oil rig also chronicles the 12 hours leading up to what became a colossal man-made disaster.
1105,Deewana Main Deewana ,A man's instant attraction to a woman becomes an obsession as he adopts a friend's identity and even commits murder in order to get closer to her.
1106,Deewangee ,"Hired by a singer to defend her friend, who has been accused of murder, a formidable lawyer learns that the man he represents may not be innocent."
1107,Def Comedy Jam 25 ,"In this special live event, giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam."""
1108,The Degenerates , Six stand-ups explore the coarse and salacious side of comedy in this series of half-hour specials. For mature audiences.
1109,Deidra & Laney Rob a Train ,"With their mother in jail and bills piling up, ambitious small-town teens Deidra and Laney plot a series of train robberies to keep themselves afloat."
1110,Delhi 6 ,"In the ancient walled city of Delhi, an American-born Indian finds himself on an unexpected inner journey as he learns about himself and his roots."
1111,Delhi Belly ,"Three flatmates get involved in the shady business belonging to one roomie's fiancé, and discover that a global crime syndicate is gunning for them."
1112,Deliha ,"Short on sense but long on self-confidence, dotty Deliha sets her sights on a hunky photographer who opens up shop in her neighborhood."
1113,Deliha 2 ,"While chasing her dream of becoming a chef, Zeliha cooks up trouble in the kitchen with her wild, kooky and unsuspecting ways."
1114,Delirium ,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.
1115,The Delivery Boy (0),A teen criminal and a young sex worker forge an unlikely alliance during a night that forces them to confront painful pasts and crises of conscience.
1116,DeMarcus Family Rules ,Rascal Flatts bassist Jay DeMarcus and ex-beauty queen Allison DeMarcus write their own rules for juggling family and fun in this reality show.
1117,Demetri Martin: Live (At the Time) ,"Demetri Martin brings his off-kilter take on acoustic guitar, hairless cats, color schemes, and the word &#39;nope&#39; to Washington in his original special."
1118,Demetri Martin: The Overthinker ," With his signature one-liners and drawings, Demetri Martin muses on doughnut holes, dogs, sports bars, the alphabet's most aggressive letters and more."
1119,Den 12. mann ,"Based on true events, this story follows a Norwegian saboteur's harrowing struggle to reach safety after escaping a Nazi attack during World War II."
1120,Den of Thieves , A highly skilled crew of bank robbers plotting a heist at the supposedly impenetrable Federal Reserve faces off against an elite unit of L.A. cops.
1121,Denis Leary: No Cure For Cancer ,"In the stand-up performance that made him a legend, comedian Denis Leary caustically holds forth on nonsmokers, vegetarians and other undesirables."
1122,Dennis the Menace ,Mr. Wilson looks to mischievous Dennis to help find a valuable collection of gold coins that go missing when a shady drifter comes to town.
1123,Deon Cole: Cole Hearted ,"Embracing his belief that comedy is the last raw form of expression, Deon Cole explains the right time to thank Jesus and the wrong time to say ""welp."""
1124,The Departed ," To take down Boston's Irish Mafia, the police send in one of their own men to infiltrate it, not realizing the syndicate has done the same thing."
